Start Time		End Time		Location	Activity
----------		--------		--------	--------
2012-11-12 14:00:02	2012-11-12 14:00:05	Door Kitchen		Lunch
2012-11-12 14:04:47	2012-11-12 14:04:50	Door Bathroom		Lunch
2012-11-12 14:20:16	2012-11-12 14:20:18	Door Bathroom		Lunch
2012-11-12 14:20:28	2012-11-12 14:20:31	Door Kitchen		Lunch
2012-11-12 14:39:01	2012-11-12 14:39:08	Cupboard		Lunch
2012-11-12 14:39:15	2012-11-12 14:39:21	Cupboard		Lunch
2012-11-12 14:48:44	2012-11-12 14:48:47	Door Kitchen		Lunch
2012-11-12 14:48:54	2012-11-12 14:48:57	Door Bathroom		Lunch
2012-11-12 14:49:15	2012-11-12 14:49:18	Door Bathroom		Lunch
2012-11-12 14:49:30	2012-11-12 14:49:33	Door Kitchen		Lunch
2012-11-12 14:51:33	2012-11-12 14:51:40	Cupboard		Lunch
2012-11-12 14:53:12	2012-11-12 14:53:14	Door Kitchen		Lunch
2012-11-12 14:54:45	2012-11-12 14:54:47	Door Bathroom		Spare_Time/TV
2012-11-12 15:22:47	2012-11-12 15:22:50	Door Bathroom		Spare_Time/TV
2012-11-12 15:23:00	2012-11-12 15:23:02	Door Kitchen		Snack
2012-11-12 15:23:38	2012-11-12 15:23:50	Cupboard		Snack
2012-11-12 15:31:49	2012-11-12 15:31:53	Door Kitchen		Snack
2012-11-12 15:39:05	2012-11-12 15:40:39	Basin		Grooming
2012-11-12 15:42:55	2012-11-12 15:42:58	Door Bathroom		Spare_Time/TV
2012-11-12 15:43:15	2012-11-12 16:10:35	Seat		Spare_Time/TV
2012-11-12 16:11:28	2012-11-12 16:11:34	Door Bathroom		Spare_Time/TV
2012-11-12 16:22:22	2012-11-12 16:22:29	Maindoor		Leaving
2012-11-12 17:08:34	2012-11-12 17:08:37	Maindoor		Leaving
2012-11-12 17:10:11	2012-11-12 17:10:14	Door Bathroom		Spare_Time/TV
2012-11-12 17:29:17	2012-11-12 17:29:21	Door Bathroom		Spare_Time/TV
2012-11-12 17:29:30	2012-11-12 17:29:33	Door Kitchen		Spare_Time/TV
2012-11-12 17:29:50	2012-11-12 17:29:52	Door Kitchen		Spare_Time/TV
2012-11-12 17:44:37	2012-11-12 17:44:40	Door Bathroom		Grooming
2012-11-12 17:45:22	2012-11-12 18:46:58	Seat		Spare_Time/TV
2012-11-12 18:47:29	2012-11-12 18:47:32	Door Bathroom		Snack
2012-11-12 18:47:45	2012-11-12 18:47:49	Door Kitchen		Snack
2012-11-12 18:52:17	2012-11-12 18:52:33	Fridge		Snack
2012-11-12 18:52:42	2012-11-12 18:53:43	Microwave		Snack
2012-11-12 18:56:12	2012-11-12 18:56:15	Door Kitchen		Snack
2012-11-12 19:02:07	2012-11-12 19:02:10	Door Bedroom		Spare_Time/TV
2012-11-12 19:02:15	2012-11-12 19:02:19	Door Bathroom		Spare_Time/TV
2012-11-12 19:03:07	2012-11-12 20:56:46	Seat		Spare_Time/TV
2012-11-12 20:57:05	2012-11-12 20:57:07	Door Bathroom		Spare_Time/TV
2012-11-12 20:57:11	2012-11-12 20:57:23	Door Bedroom		Spare_Time/TV
2012-11-12 21:06:32	2012-11-12 21:06:35	Door Bathroom		Spare_Time/TV
2012-11-12 21:11:39	2012-11-12 21:11:58	Door Bathroom		Spare_Time/TV
2012-11-12 21:14:56	2012-11-12 21:15:03	Basin		Grooming
2012-11-12 21:15:13	2012-11-12 21:15:17	Door Bathroom		Grooming
2012-11-12 22:35:21	2012-11-12 22:35:25	Door Kitchen		Dinner
2012-11-12 22:36:23	2012-11-12 22:36:58	Cupboard		Dinner
2012-11-12 22:37:52	2012-11-12 22:37:55	Door Kitchen		Dinner
2012-11-12 22:53:46	2012-11-12 22:53:54	Basin		Grooming
2012-11-12 22:54:10	2012-11-12 22:54:14	Door Bathroom		Spare_Time/TV
2012-11-12 22:55:02	2012-11-12 23:33:45	Seat		Spare_Time/TV
2012-11-12 23:34:27	2012-11-12 23:34:30	Door Bathroom		Spare_Time/TV
2012-11-12 23:34:40	2012-11-12 23:34:43	Door Bedroom		Spare_Time/TV
2012-11-12 23:36:45	2012-11-12 23:36:47	Door Bedroom		Toileting
2012-11-12 23:36:51	2012-11-12 23:37:59	Toilet		Toileting
2012-11-12 23:46:23	2012-11-12 23:46:26	Door Bathroom		Spare_Time/TV
2012-11-12 23:47:02	2012-11-13 01:26:16	Seat		Spare_Time/TV
2012-11-13 01:29:06	2012-11-13 01:29:39	Basin		Grooming
2012-11-13 01:29:52	2012-11-13 01:29:56	Door Bedroom		Grooming
2012-11-13 01:30:32	2012-11-13 08:51:15	Bed		Sleeping
2012-11-13 08:52:03	2012-11-13 08:52:06	Door Bedroom		Sleeping
2012-11-13 08:56:37	2012-11-13 08:56:40	Door Bathroom		Breakfast
2012-11-13 08:56:52	2012-11-13 08:56:57	Door Kitchen		Breakfast
2012-11-13 08:57:49	2012-11-13 08:57:53	Fridge		Breakfast
2012-11-13 08:58:45	2012-11-13 09:00:26	Microwave		Breakfast
2012-11-13 08:59:12	2012-11-13 08:59:15	Fridge		Breakfast
2012-11-13 09:04:54	2012-11-13 09:04:56	Door Kitchen		Breakfast
2012-11-13 09:11:46	2012-11-13 09:11:49	Basin		Grooming
2012-11-13 09:14:48	2012-11-13 09:15:53	Toilet		Toileting
2012-11-13 09:21:24	2012-11-13 09:24:26	Basin		Grooming
2012-11-13 09:29:37	2012-11-13 09:30:26	Basin		Grooming
2012-11-13 09:34:55	2012-11-13 09:36:50	Basin		Grooming
2012-11-13 09:53:15	2012-11-13 09:53:21	Maindoor		Leaving
2012-11-13 10:11:04	2012-11-13 10:11:07	Maindoor		Leaving
2012-11-13 10:11:48	2012-11-13 10:11:51	Door Kitchen		Leaving
2012-11-13 10:14:04	2012-11-13 10:14:07	Door Kitchen		Snack
2012-11-13 10:49:34	2012-11-13 10:49:38	Door Kitchen		Snack
2012-11-13 10:52:45	2012-11-13 10:52:48	Maindoor		Leaving
2012-11-13 13:41:50	2012-11-13 13:41:54	Maindoor		Leaving
2012-11-13 13:47:45	2012-11-13 13:47:48	Door Kitchen		Snack
2012-11-13 13:48:27	2012-11-13 13:48:32	Fridge		Snack
2012-11-13 13:48:39	2012-11-13 13:48:42	Fridge		Snack
2012-11-13 13:59:40	2012-11-13 13:59:42	Door Kitchen		Snack
2012-11-13 14:05:24	2012-11-13 14:06:09	Toilet		Toileting
2012-11-13 14:08:24	2012-11-13 14:08:28	Door Kitchen		Lunch
2012-11-13 14:17:25	2012-11-13 14:17:29	Door Kitchen		Lunch
2012-11-13 14:20:53	2012-11-13 14:20:56	Door Kitchen		Lunch
2012-11-13 14:27:34	2012-11-13 14:27:36	Cupboard		Lunch
2012-11-13 14:28:20	2012-11-13 14:28:24	Fridge		Lunch
2012-11-13 14:33:42	2012-11-13 14:33:45	Cupboard		Lunch
2012-11-13 14:39:11	2012-11-13 14:39:14	Door Kitchen		Lunch
2012-11-13 14:40:29	2012-11-13 14:40:32	Door Bathroom		Lunch
2012-11-13 14:41:28	2012-11-13 14:41:30	Door Bathroom		Lunch
2012-11-13 14:41:38	2012-11-13 14:41:41	Door Kitchen		Lunch
2012-11-13 14:42:33	2012-11-13 14:42:36	Door Kitchen		Lunch
2012-11-13 14:43:07	2012-11-13 14:43:09	Door Bathroom		Spare_Time/TV
2012-11-13 14:44:01	2012-11-13 15:50:30	Seat		Spare_Time/TV
2012-11-13 15:51:29	2012-11-13 15:51:32	Door Bathroom		Spare_Time/TV
2012-11-13 15:51:40	2012-11-13 15:51:43	Door Kitchen		Spare_Time/TV
2012-11-13 16:07:27	2012-11-13 16:07:30	Door Bathroom		Toileting
2012-11-13 16:33:20	2012-11-13 16:33:23	Door Bathroom		Spare_Time/TV
2012-11-13 16:35:03	2012-11-13 16:35:07	Door Bathroom		Spare_Time/TV
2012-11-13 16:36:12	2012-11-13 17:30:14	Seat		Spare_Time/TV
2012-11-13 17:31:27	2012-11-13 17:31:30	Door Bathroom		Spare_Time/TV
2012-11-13 17:34:23	2012-11-13 17:34:27	Door Bedroom		Snack
2012-11-13 17:34:48	2012-11-13 17:34:51	Door Kitchen		Snack
2012-11-13 17:36:32	2012-11-13 17:36:34	Door Kitchen		Snack
2012-11-13 17:37:31	2012-11-13 17:37:35	Door Bathroom		Spare_Time/TV
2012-11-13 17:38:27	2012-11-13 17:55:10	Seat		Spare_Time/TV
2012-11-13 17:56:30	2012-11-13 17:56:33	Door Bathroom		Spare_Time/TV
2012-11-13 17:57:01	2012-11-13 17:57:04	Door Bathroom		Spare_Time/TV
2012-11-13 17:58:47	2012-11-13 18:21:08	Seat		Spare_Time/TV
2012-11-13 18:22:35	2012-11-13 18:22:38	Door Bathroom		Spare_Time/TV
2012-11-13 18:24:40	2012-11-13 18:24:44	Door Bathroom		Spare_Time/TV
2012-11-13 18:25:27	2012-11-13 18:47:29	Seat		Spare_Time/TV
2012-11-13 18:48:38	2012-11-13 18:48:40	Door Bathroom		Spare_Time/TV
2012-11-13 18:51:51	2012-11-13 18:51:53	Door Kitchen		Snack
2012-11-13 19:13:08	2012-11-13 19:13:19	Door Kitchen		Snack
2012-11-13 19:13:28	2012-11-13 19:13:31	Door Kitchen		Snack
2012-11-13 19:46:30	2012-11-13 19:47:27	Toilet		Toileting
2012-11-13 19:52:02	2012-11-13 19:52:03	Door Bathroom		Spare_Time/TV
2012-11-13 19:53:13	2012-11-13 22:57:44	Seat		Spare_Time/TV
2012-11-13 22:58:24	2012-11-13 22:58:28	Door Bathroom		Spare_Time/TV
2012-11-13 22:58:30	2012-11-13 22:58:34	Door Bedroom		Spare_Time/TV
2012-11-13 22:59:42	2012-11-13 22:59:44	Door Bedroom		Spare_Time/TV
2012-11-13 23:00:04	2012-11-13 23:00:08	Door Bathroom		Spare_Time/TV
2012-11-13 23:17:07	2012-11-13 23:17:10	Door Bathroom		Dinner
2012-11-13 23:17:20	2012-11-13 23:17:25	Door Kitchen		Dinner
2012-11-13 23:17:56	2012-11-13 23:21:42	Microwave		Dinner
2012-11-13 23:22:08	2012-11-13 23:22:10	Door Kitchen		Dinner
2012-11-13 23:22:21	2012-11-13 23:22:29	Door Bathroom		Dinner
2012-11-13 23:39:32	2012-11-13 23:40:03	Basin		Grooming
2012-11-13 23:40:52	2012-11-13 23:40:58	Door Bathroom		Grooming
2012-11-13 23:45:05	2012-11-13 23:45:09	Door Bathroom		Spare_Time/TV
2012-11-13 23:46:01	2012-11-14 00:20:35	Seat		Spare_Time/TV
2012-11-14 00:21:07	2012-11-14 00:21:10	Door Bathroom		Spare_Time/TV
2012-11-14 00:28:44	2012-11-14 00:29:32	Toilet		Toileting
2012-11-14 00:28:54	2012-11-14 00:28:59	Door Bedroom		Toileting
2012-11-14 00:29:41	2012-11-14 05:11:15	Bed		Sleeping
2012-11-14 05:12:26	2012-11-14 05:12:29	Door Bedroom		Sleeping
2012-11-14 05:15:19	2012-11-14 05:15:52	Basin		Grooming
2012-11-14 05:15:55	2012-11-14 05:15:59	Door Bedroom		Grooming
2012-11-14 05:16:51	2012-11-14 09:00:14	Bed		Sleeping
2012-11-14 09:01:22	2012-11-14 09:01:27	Door Bedroom		Sleeping
2012-11-14 09:04:43	2012-11-14 09:05:43	Toilet		Toileting
2012-11-14 09:04:54	2012-11-14 09:04:58	Door Bedroom		Toileting
2012-11-14 09:06:08	2012-11-14 09:06:10	Door Bedroom		Breakfast
2012-11-14 09:06:26	2012-11-14 09:06:30	Door Kitchen		Breakfast
2012-11-14 09:07:17	2012-11-14 09:07:35	Fridge		Breakfast
2012-11-14 09:07:47	2012-11-14 09:09:16	Microwave		Breakfast
2012-11-14 09:09:26	2012-11-14 09:09:41	Microwave		Breakfast
2012-11-14 09:17:48	2012-11-14 09:17:51	Door Kitchen		Breakfast
2012-11-14 09:22:11	2012-11-14 09:22:16	Door Bedroom		Spare_Time/TV
2012-11-14 09:22:21	2012-11-14 09:22:26	Door Bedroom		Spare_Time/TV
2012-11-14 09:22:34	2012-11-14 09:22:37	Door Bathroom		Spare_Time/TV
2012-11-14 09:23:10	2012-11-14 10:36:48	Seat		Spare_Time/TV
2012-11-14 10:37:26	2012-11-14 10:37:29	Door Bathroom		Spare_Time/TV
2012-11-14 10:38:16	2012-11-14 10:38:19	Door Kitchen		Breakfast
2012-11-14 10:39:50	2012-11-14 10:39:56	Fridge		Breakfast
2012-11-14 10:46:43	2012-11-14 10:46:57	Door Kitchen		Breakfast
2012-11-14 10:54:22	2012-11-14 10:54:24	Door Kitchen		Breakfast
2012-11-14 10:59:14	2012-11-14 10:59:16	Cupboard		Breakfast
2012-11-14 11:01:12	2012-11-14 11:01:15	Door Kitchen		Breakfast
2012-11-14 11:07:27	2012-11-14 11:07:30	Door Bathroom		Spare_Time/TV
2012-11-14 11:08:26	2012-11-14 11:15:38	Seat		Spare_Time/TV
2012-11-14 11:16:45	2012-11-14 11:16:50	Door Bathroom		Spare_Time/TV
2012-11-14 11:18:49	2012-11-14 11:18:52	Door Bathroom		Spare_Time/TV
2012-11-14 11:19:36	2012-11-14 11:34:18	Seat		Spare_Time/TV
2012-11-14 11:35:43	2012-11-14 11:35:46	Door Bathroom		Spare_Time/TV
2012-11-14 11:47:39	2012-11-14 11:52:17	Basin		Grooming
2012-11-14 11:56:03	2012-11-14 11:58:55	Shower		Showering
2012-11-14 12:00:16	2012-11-14 12:02:42	Basin		Grooming
2012-11-14 12:07:50	2012-11-14 12:08:53	Basin		Grooming
2012-11-14 12:21:31	2012-11-14 12:22:55	Basin		Grooming
2012-11-14 12:29:00	2012-11-14 12:29:15	Door Bathroom		Spare_Time/TV
2012-11-14 12:42:07	2012-11-14 12:42:09	Door Bathroom		Spare_Time/TV
2012-11-14 12:42:11	2012-11-14 12:42:15	Door Bedroom		Spare_Time/TV
2012-11-14 12:43:02	2012-11-14 12:43:16	Door Bedroom		Spare_Time/TV
2012-11-14 12:45:03	2012-11-14 12:45:06	Door Bathroom		Spare_Time/TV
2012-11-14 12:46:54	2012-11-14 12:51:29	Seat		Spare_Time/TV
2012-11-14 12:52:09	2012-11-14 12:52:14	Door Bathroom		Spare_Time/TV
2012-11-14 12:52:19	2012-11-14 12:52:24	Maindoor		Spare_Time/TV
2012-11-14 12:52:09	2012-11-14 12:52:14	Door Bathroom		Leaving
2012-11-14 12:52:19	2012-11-14 12:52:24	Maindoor		Leaving
2012-11-14 12:54:27	2012-11-14 12:54:35	Maindoor		Leaving
2012-11-14 12:54:07	2012-11-14 12:54:10	Door Bathroom		Leaving
2012-11-14 12:54:30	2012-11-14 12:54:33	Door Bathroom		Leaving
2012-11-14 12:54:41	2012-11-14 12:54:45	Door Kitchen		Leaving
2012-11-14 12:57:50	2012-11-14 12:57:57	Maindoor		Leaving
2012-11-14 14:22:31	2012-11-14 14:22:37	Maindoor		Leaving
2012-11-14 14:24:14	2012-11-14 14:24:28	Door Bathroom		Grooming
2012-11-14 14:29:39	2012-11-14 14:29:46	Maindoor		Leaving
2012-11-14 15:49:38	2012-11-14 15:49:44	Maindoor		Leaving
2012-11-14 15:58:45	2012-11-14 15:58:49	Door Bathroom		Spare_Time/TV
2012-11-14 15:59:11	2012-11-14 19:47:55	Seat		Spare_Time/TV
2012-11-14 19:48:53	2012-11-14 19:48:59	Door Bathroom		Spare_Time/TV
2012-11-14 20:11:38	2012-11-14 20:11:41	Door Bathroom		Spare_Time/TV
2012-11-14 20:12:58	2012-11-14 21:04:49	Seat		Spare_Time/TV
2012-11-14 21:05:06	2012-11-14 21:05:08	Door Bathroom		Spare_Time/TV
2012-11-14 21:06:26	2012-11-14 21:06:29	Door Bathroom		Spare_Time/TV
2012-11-14 21:37:09	2012-11-14 21:37:13	Door Bathroom		Spare_Time/TV
2012-11-14 21:37:21	2012-11-14 21:37:26	Door Kitchen		Spare_Time/TV
2012-11-14 21:37:09	2012-11-14 21:37:13	Door Bathroom		Dinner
2012-11-14 21:37:21	2012-11-14 21:37:26	Door Kitchen		Dinner
2012-11-14 21:40:22	2012-11-14 21:42:22	Microwave		Dinner
2012-11-14 21:42:23	2012-11-14 21:42:29	Cupboard		Dinner
2012-11-14 21:42:40	2012-11-14 21:42:42	Door Kitchen		Dinner
2012-11-14 21:42:52	2012-11-14 21:42:55	Door Bathroom		Dinner
2012-11-14 21:44:06	2012-11-14 21:44:09	Door Bathroom		Dinner
2012-11-14 21:44:19	2012-11-14 21:44:21	Door Kitchen		Dinner
2012-11-14 21:44:24	2012-11-14 21:44:35	Microwave		Dinner
2012-11-14 21:45:31	2012-11-14 21:45:37	Fridge		Dinner
2012-11-14 21:45:49	2012-11-14 21:45:52	Fridge		Dinner
2012-11-14 21:47:05	2012-11-14 21:47:08	Door Kitchen		Dinner
2012-11-14 21:47:15	2012-11-14 21:47:18	Door Bathroom		Dinner
2012-11-14 21:48:23	2012-11-14 22:13:45	Seat		Spare_Time/TV
2012-11-14 22:14:23	2012-11-14 22:14:26	Door Bathroom		Spare_Time/TV
2012-11-14 22:14:37	2012-11-14 22:14:41	Door Kitchen		Spare_Time/TV
2012-11-14 22:14:23	2012-11-14 22:14:26	Door Bathroom		Snack
2012-11-14 22:14:37	2012-11-14 22:14:41	Door Kitchen		Snack
2012-11-14 22:15:47	2012-11-14 22:16:05	Fridge		Snack
2012-11-14 22:17:45	2012-11-14 22:17:47	Door Kitchen		Snack
2012-11-14 22:18:35	2012-11-14 22:18:39	Door Bathroom		Spare_Time/TV
2012-11-14 22:19:24	2012-11-14 23:05:15	Seat		Spare_Time/TV
2012-11-14 23:06:14	2012-11-14 23:06:16	Door Bathroom		Spare_Time/TV
2012-11-14 23:12:00	2012-11-14 23:12:03	Door Kitchen		Spare_Time/TV
2012-11-14 23:12:11	2012-11-14 23:12:14	Door Kitchen		Spare_Time/TV
2012-11-14 23:12:33	2012-11-14 23:12:37	Door Bathroom		Spare_Time/TV
2012-11-14 23:13:17	2012-11-15 00:05:21	Seat		Spare_Time/TV
2012-11-15 00:06:39	2012-11-15 00:06:45	Door Bathroom		Spare_Time/TV
2012-11-15 00:07:20	2012-11-15 00:07:28	Basin		Grooming
2012-11-15 00:10:24	2012-11-15 00:10:29	Door Bedroom		Grooming
2012-11-15 00:10:24	2012-11-15 00:10:29	Door Bedroom		Sleeping
2012-11-15 00:10:56	2012-11-15 00:39:00	Bed		Sleeping
2012-11-15 00:40:08	2012-11-15 00:40:14	Door Bedroom		Sleeping
2012-11-15 00:40:50	2012-11-15 00:42:52	Bed		Sleeping
2012-11-15 00:43:16	2012-11-15 00:43:19	Door Bedroom		Sleeping
2012-11-15 00:43:40	2012-11-15 00:43:49	Door Bathroom		Sleeping
2012-11-15 00:43:16	2012-11-15 00:43:19	Door Bedroom		Spare_Time/TV
2012-11-15 00:43:40	2012-11-15 00:43:49	Door Bathroom		Spare_Time/TV
2012-11-15 00:44:02	2012-11-15 01:54:13	Seat		Spare_Time/TV
2012-11-15 01:54:31	2012-11-15 01:54:38	Door Bathroom		Spare_Time/TV
2012-11-15 01:55:27	2012-11-15 01:55:29	Door Bedroom		Sleeping
2012-11-15 01:55:44	2012-11-15 07:44:47	Bed		Sleeping
2012-11-15 07:46:07	2012-11-15 07:46:10	Door Bedroom		Sleeping
2012-11-15 07:52:11	2012-11-15 07:52:52	Toilet		Toileting
2012-11-15 07:53:26	2012-11-15 07:53:29	Door Bedroom		Sleeping
2012-11-15 07:53:46	2012-11-15 09:33:22	Bed		Sleeping
2012-11-15 09:34:31	2012-11-15 09:34:36	Door Bedroom		Sleeping
2012-11-15 09:37:15	2012-11-15 09:37:18	Door Bathroom		Breakfast
2012-11-15 09:37:33	2012-11-15 09:37:37	Door Kitchen		Breakfast
2012-11-15 09:42:03	2012-11-15 09:42:21	Fridge		Breakfast
2012-11-15 09:42:30	2012-11-15 09:44:06	Microwave		Breakfast
2012-11-15 09:47:12	2012-11-15 09:47:16	Door Kitchen		Breakfast
2012-11-15 09:47:43	2012-11-15 09:47:46	Door Bathroom		Breakfast
2012-11-15 09:52:52	2012-11-15 09:52:57	Basin		Grooming
2012-11-15 09:53:18	2012-11-15 09:53:21	Door Bedroom		Grooming
2012-11-15 09:53:43	2012-11-15 09:53:46	Door Bedroom		Grooming
2012-11-15 09:53:48	2012-11-15 09:56:53	Basin		Grooming
2012-11-15 10:05:27	2012-11-15 10:07:25	Basin		Grooming
2012-11-15 10:11:08	2012-11-15 10:11:14	Door Kitchen		Snack
2012-11-15 10:16:22	2012-11-15 10:16:24	Door Kitchen		Snack
2012-11-15 10:26:41	2012-11-15 11:19:50	Seat		Spare_Time/TV
2012-11-15 11:42:33	2012-11-15 11:42:56	Maindoor		Leaving
2012-11-15 13:02:30	2012-11-15 13:02:38	Maindoor		Leaving
2012-11-15 13:02:54	2012-11-15 13:02:56	Door Kitchen		Leaving
2012-11-15 13:09:56	2012-11-15 14:20:30	Seat		Spare_Time/TV
2012-11-15 14:41:27	2012-11-15 14:41:31	Door Bathroom		Lunch
2012-11-15 14:41:43	2012-11-15 14:41:45	Door Kitchen		Lunch
2012-11-15 14:49:13	2012-11-15 14:49:16	Cupboard		Lunch
2012-11-15 14:49:41	2012-11-15 14:49:45	Door Kitchen		Lunch
2012-11-15 14:49:54	2012-11-15 14:49:57	Door Bathroom		Lunch
2012-11-15 15:04:05	2012-11-15 15:04:10	Door Bathroom		Lunch
2012-11-15 15:04:18	2012-11-15 15:04:20	Door Kitchen		Lunch
2012-11-15 15:24:09	2012-11-15 15:24:12	Fridge		Lunch
2012-11-15 15:34:20	2012-11-15 15:34:23	Door Kitchen		Lunch
2012-11-15 15:35:48	2012-11-15 15:35:51	Door Bathroom		Lunch
2012-11-15 15:41:09	2012-11-15 15:41:11	Door Bathroom		Lunch
2012-11-15 15:42:11	2012-11-15 15:42:14	Door Kitchen		Lunch
2012-11-15 15:42:43	2012-11-15 15:42:48	Fridge		Lunch
2012-11-15 15:43:19	2012-11-15 15:43:22	Door Kitchen		Lunch
2012-11-15 15:43:24	2012-11-15 15:43:26	Door Bathroom		Lunch
2012-11-15 15:54:05	2012-11-15 15:54:09	Door Bathroom		Leaving
2012-11-15 15:54:21	2012-11-15 15:54:32	Maindoor		Leaving
2012-11-15 20:10:50	2012-11-15 20:10:57	Maindoor		Leaving
2012-11-15 22:07:26	2012-11-15 22:07:29	Door Kitchen		Snack
2012-11-15 22:22:27	2012-11-15 22:22:29	Door Kitchen		Snack
2012-11-15 22:22:41	2012-11-15 22:22:44	Door Bathroom		Snack
2012-11-15 22:26:02	2012-11-15 22:26:04	Door Bathroom		Dinner
2012-11-15 22:26:14	2012-11-15 22:26:16	Door Kitchen		Dinner
2012-11-15 22:26:39	2012-11-15 22:30:40	Microwave		Dinner
2012-11-15 22:28:07	2012-11-15 22:28:17	Cupboard		Dinner
2012-11-15 22:30:44	2012-11-15 22:30:48	Door Kitchen		Dinner
2012-11-16 00:48:31	2012-11-16 00:48:35	Door Bathroom		Spare_Time/TV
2012-11-16 00:48:46	2012-11-16 00:48:49	Door Kitchen		Spare_Time/TV
2012-11-16 00:51:11	2012-11-16 00:51:14	Door Bathroom		Grooming
2012-11-16 00:55:05	2012-11-16 00:55:12	Basin		Grooming
2012-11-16 00:55:23	2012-11-16 00:55:25	Door Bathroom		Grooming
2012-11-16 00:58:03	2012-11-16 00:58:05	Door Bedroom		Sleeping
2012-11-16 00:59:05	2012-11-16 10:36:26	Bed		Sleeping
2012-11-16 10:37:55	2012-11-16 10:37:58	Door Bedroom		Sleeping
2012-11-16 10:39:14	2012-11-16 10:39:18	Door Kitchen		Breakfast
2012-11-16 10:40:09	2012-11-16 10:40:11	Fridge		Breakfast
2012-11-16 10:41:19	2012-11-16 10:42:13	Microwave		Breakfast
2012-11-16 10:52:56	2012-11-16 10:52:58	Door Kitchen		Breakfast
2012-11-16 11:03:46	2012-11-16 11:06:56	Shower		Showering
2012-11-16 11:09:24	2012-11-16 11:12:37	Basin		Grooming
